field_1,zip_code,Complaintsbyzip,Fwbyzip,zip_num,311real,percentFW,percentFWdecimal
"0","83.0","1","0","83","1","0",0.000
"1","10000.0","47","1.0","10000","47","2",2.128
"2","10001.0","980","1.0","10001","980","0",0.102
"3","10002.0","2439","79.0","10002","2439","3",3.239
"4","10003.0","1593","18.0","10003","1593","1",1.130
"5","10004.0","149","4.0","10004","149","3",2.685
"6","10005.0","112","1.0","10005","112","1",0.893
"7","10006.0","58","3.0","10006","58","5",5.172
"8","10007.0","230","5.0","10007","230","2",2.174
"9","10009.0","1871","60.0","10009","1871","3",3.207
"10","10010.0","722","6.0","10010","722","1",0.831
"11","10011.0","2241","44.0","10011","2241","2",1.963
"12","10012.0","882","6.0","10012","882","1",0.680
"13","10013.0","776","3.0","10013","776","0",0.387
"14","10014.0","1399","5.0","10014","1399","0",0.357
"15","10016.0","1239","7.0","10016","1239","1",0.565
"16","10017.0","357","2.0","10017","357","1",0.560
"17","10018.0","334","1.0","10018","334","0",0.299
"18","10019.0","1370","9.0","10019","1370","1",0.657
"19","10020.0","14","0","10020","14","0",0.000
"20","10021.0","453","1.0","10021","453","0",0.221
"21","10022.0","645","3.0","10022","645","0",0.465
"22","10023.0","1928","7.0","10023","1928","0",0.363
"23","10024.0","1183","18.0","10024","1183","2",1.522
"24","10025.0","2138","91.0","10025","2138","4",4.256
"25","10026.0","1936","233.0","10026","1936","12",12.035
"26","10027.0","2089","170.0","10027","2089","8",8.138
"27","10028.0","817","4.0","10028","817","0",0.490
"28","10029.0","1866","101.0","10029","1866","5",5.413
"29","10030.0","1329","156.0","10030","1329","12",11.738
"30","10031.0","3435","459.0","10031","3435","13",13.362
"31","10032.0","3479","475.0","10032","3479","14",13.653
"32","10033.0","2564","264.0","10033","2564","10",10.296
"33","10034.0","2913","258.0","10034","2913","9",8.857
"34","10035.0","1035","76.0","10035","1035","7",7.343
"35","10036.0","896","5.0","10036","896","1",0.558
"36","10037.0","927","209.0","10037","927","23",22.546
"37","10038.0","411","23.0","10038","411","6",5.596
"38","10039.0","1169","58.0","10039","1169","5",4.962
"39","10040.0","3051","394.0","10040","3051","13",12.914
"40","10041.0","1","0","10041","1","0",0.000
"41","10044.0","38","0","10044","38","0",0.000
"42","10048.0","2","1.0","10048","2","50",50.000
"43","10065.0","401","0","10065","401","0",0.000
"44","10069.0","33","0","10069","33","0",0.000
"45","10075.0","380","2.0","10075","380","1",0.526
"46","10103.0","7","0","10103","7","0",0.000
"47","10105.0","5","0","10105","5","0",0.000
"48","10107.0","1","0","10107","1","0",0.000
"49","10110.0","2","0","10110","2","0",0.000
"50","10111.0","1","0","10111","1","0",0.000
"51","10112.0","1","0","10112","1","0",0.000
"52","10115.0","1","0","10115","1","0",0.000
"53","10118.0","6","0","10118","6","0",0.000
"54","10120.0","1","0","10120","1","0",0.000
"55","10121.0","28","1.0","10121","28","4",3.571
"56","10122.0","1","0","10122","1","0",0.000
"57","10123.0","3","0","10123","3","0",0.000
"58","10128.0","673","41.0","10128","673","6",6.092
"59","10151.0","3","0","10151","3","0",0.000
"60","10153.0","15","0","10153","15","0",0.000
"61","10155.0","1","0","10155","1","0",0.000
"62","10158.0","5","0","10158","5","0",0.000
"63","10162.0","13","0","10162","13","0",0.000
"64","10165.0","7","0","10165","7","0",0.000
"65","10167.0","1","0","10167","1","0",0.000
"66","10168.0","1","0","10168","1","0",0.000
"67","10169.0","27","0","10169","27","0",0.000
"68","10170.0","1","0","10170","1","0",0.000
"69","10172.0","3","0","10172","3","0",0.000
"70","10173.0","7","0","10173","7","0",0.000
"71","10177.0","1","0","10177","1","0",0.000
"72","10271.0","2","0","10271","2","0",0.000
"73","10278.0","3","0","10278","3","0",0.000
"74","10279.0","4","0","10279","4","0",0.000
"75","10280.0","59","1.0","10280","59","2",1.695
"76","10281.0","9","1.0","10281","9","11",11.111
"77","10282.0","28","0","10282","28","0",0.000
"78","10301.0","1113","62.0","10301","1113","6",5.571
