Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
"50546438",05/13/2021 12:25:00 PM,05/25/2021 09:46:00 AM,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,"10040",5 SICKLES STREET,SICKLES STREET,NAGLE AVE,SHERMAN AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Environmental Protection sent a letter to the complainant and/or respondent and the letter was returned as undeliverable.,05/25/2021 09:46:00 AM,12 MANHATTAN,"1021740089",MANHATTAN,"1004297","252961",ONLINE,Unspecified,MANHATTAN,,,,,,,,40.8609714873932,-73.9275264563914,"(40.860971487393215, -73.92752645639142)"
"50931712",06/19/2021 11:46:00 PM,06/22/2021 02:35:00 PM,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,"10016",14 EAST   28 STREET,EAST   28 STREET,5 AVE,MADISON AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Environmental Protection determined that an inspection is not warranted to investigate this complaint at this time and sent a letter to the complainant and/or respondent.,06/22/2021 02:35:00 PM,05 MANHATTAN,"1008570066",MANHATTAN,"988022","210442",ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7442904687729,-73.9863874194606,"(40.744290468772896, -73.98638741946058)"
"50925665",06/18/2021 07:17:00 AM,06/22/2021 09:24:00 AM,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,"10037",25 WEST  132 STREET,WEST  132 STREET,5 AVE,LENOX AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Environmental Protection determined that an inspection is not warranted to investigate this complaint at this time and sent a letter to the complainant and/or respondent.,06/22/2021 09:24:00 AM,10 MANHATTAN,"1017300025",MANHATTAN,"1000851","234857",PHONE,Unspecified,MANHATTAN,,,,,,,,40.8112884114546,-73.9400291754162,"(40.81128841145457, -73.94002917541623)"
"50938518",06/19/2021 07:19:00 PM,06/22/2021 08:59:00 AM,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,"10026",272 WEST  117 STREET,WEST  117 STREET,ST NICHOLAS AVE,FREDERICK DOUGLASS BLVD,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,06/22/2021 08:59:00 AM,10 MANHATTAN,"1019220057",MANHATTAN,"996954","232479",ONLINE,Unspecified,MANHATTAN,,,,,,,,40.8047679233821,-73.9541115175491,"(40.80476792338207, -73.95411151754905)"
"50958250",06/21/2021 09:34:00 PM,06/22/2021 02:37:00 PM,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,"10016",14 EAST   28 STREET,EAST   28 STREET,5 AVE,MADISON AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,06/22/2021 02:37:00 PM,05 MANHATTAN,"1008570066",MANHATTAN,"988022","210442",ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7442904687729,-73.9863874194606,"(40.744290468772896, -73.98638741946058)"
"50969758",06/22/2021 12:21:00 AM,06/22/2021 02:42:00 PM,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,"10024",175 WEST   85 STREET,WEST   85 STREET,COLUMBUS AVE,AMSTERDAM AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Environmental Protection determined that an inspection is not warranted to investigate this complaint at this time and sent a letter to the complainant and/or respondent.,06/22/2021 02:42:00 PM,07 MANHATTAN,"1012160001",MANHATTAN,"991285","225867",ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7866261097953,-73.9745955998033,"(40.78662610979534, -73.97459559980331)"
"50228379",04/08/2021 10:06:00 AM,04/12/2021 01:11:00 PM,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,"10128",1577 3 AVENUE,3 AVENUE,E 88 ST,E 89 ST,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Environmental Protection determined that an inspection is not warranted to investigate this complaint at this time and sent a letter to the complainant and/or respondent.,04/12/2021 01:11:00 PM,08 MANHATTAN,"1015340050",MANHATTAN,"997330","223626",ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7804682825519,-73.9527705989595,"(40.78046828255187, -73.95277059895955)"
"50736187",06/01/2021 03:37:00 AM,06/02/2021 04:34:00 PM,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,"10031",474 WEST  144 STREET,WEST  144 STREET,CONVENT AVE,AMSTERDAM AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,06/02/2021 04:34:00 PM,09 MANHATTAN,"1020590030",MANHATTAN,"998778","239598",ONLINE,Unspecified,MANHATTAN,,,,,,,,40.8243047743089,-73.9475075868658,"(40.824304774308885, -73.9475075868658)"
"50591277",05/17/2021 08:14:00 PM,05/25/2021 10:07:00 AM,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,"10027",74 WEST  127 STREET,WEST  127 STREET,5 AVE,LENOX AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Environmental Protection determined that an inspection is not warranted to investigate this complaint at this time and sent a letter to the complainant and/or respondent.,05/25/2021 10:07:00 AM,10 MANHATTAN,"1017240067",MANHATTAN,"999891","233885",PHONE,Unspecified,MANHATTAN,,,,,,,,40.808622293443,-73.9434994225994,"(40.80862229344299, -73.94349942259939)"
"50592651",05/17/2021 11:30:00 PM,05/25/2021 10:19:00 AM,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,"10026",130 WEST  111 STREET,WEST  111 STREET,ST NICHOLAS AVE,ADAM CLAYTON POWELL JR BLVD,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Environmental Protection determined that an inspection is not warranted to investigate this complaint at this time and sent a letter to the complainant and/or respondent.,05/25/2021 10:19:00 AM,10 MANHATTAN,"1018200148",MANHATTAN,"997179","230512",ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7993687216441,-73.953302576406,"(40.79936872164405, -73.95330257640603)"
