Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
"50366413",04/24/2021 05:23:00 PM,05/01/2021 01:15:00 PM,DEP,Department of Environmental Protection,Noise,"Noise, Ice Cream Truck (NR4)",,"10040",730 FT WASHINGTON AVENUE,FT WASHINGTON AVENUE,W 190 ST,CABRINI BLVD,,,ADDRESS,NEW YORK,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",05/01/2021 01:15:00 PM,12 MANHATTAN,"1021800628",MANHATTAN,"1002304","251970",ONLINE,Unspecified,MANHATTAN,,,,,,,,40.8582557917352,-73.9347341796255,"(40.85825579173524, -73.93473417962548)"
"50363779",04/24/2021 01:14:00 PM,05/01/2021 03:00:00 PM,DEP,Department of Environmental Protection,Noise,"Noise, Ice Cream Truck (NR4)",,"10029",1280 5 AVENUE,5 AVENUE,E 109 ST,FRAWLEY CIR,,,ADDRESS,NEW YORK,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",05/01/2021 03:00:00 PM,11 MANHATTAN,"1016157501",MANHATTAN,"998201","229396",PHONE,Unspecified,MANHATTAN,,,,,,,,40.7963040513433,-73.9496135996612,"(40.79630405134329, -73.94961359966125)"
"50447694",05/02/2021 08:45:00 PM,05/04/2021 07:45:00 PM,DEP,Department of Environmental Protection,Noise,"Noise, Ice Cream Truck (NR4)",,"10029",1214 5 AVENUE,5 AVENUE,5 AVE,MADISON AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",05/04/2021 07:45:00 PM,11 MANHATTAN,"1016077503",MANHATTAN,"997437","227577",ONLINE,Unspecified,MANHATTAN,,,,,,,,40.791312562055,-73.952376486226,"(40.791312562055026, -73.95237648622604)"
"50585011",05/16/2021 08:47:00 PM,05/17/2021 07:07:00 AM,DEP,Department of Environmental Protection,Noise,"Noise, Ice Cream Truck (NR4)",,"10128",501 EAST   87 STREET,EAST   87 STREET,YORK AVE,EAST END AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,05/17/2021 07:07:00 AM,08 MANHATTAN,"1015840001",MANHATTAN,"999131","222167",ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7764608645595,-73.9462707621447,"(40.776460864559496, -73.94627076214475)"
"50399918",04/27/2021 06:03:00 PM,04/28/2021 08:30:00 PM,DEP,Department of Environmental Protection,Noise,"Noise, Ice Cream Truck (NR4)",,"10040",720 FT WASHINGTON AVENUE,FT WASHINGTON AVENUE,W 190 ST,CABRINI BLVD,,,ADDRESS,NEW YORK,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",04/28/2021 08:30:00 PM,12 MANHATTAN,"1021800614",MANHATTAN,"1002241","251856",ONLINE,Unspecified,MANHATTAN,,,,,,,,40.8579430246043,-73.9349622326511,"(40.857943024604346, -73.93496223265109)"
"50530002",05/11/2021 06:00:00 PM,05/12/2021 11:00:00 PM,DEP,Department of Environmental Protection,Noise,"Noise, Ice Cream Truck (NR4)",,"10003",14 EAST   14 STREET,EAST   14 STREET,5 AVE,UNION SQUARE W,,,ADDRESS,NEW YORK,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",05/12/2021 11:00:00 PM,02 MANHATTAN,"1005717501",MANHATTAN,"986227","207306",ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7356835113066,-73.9928662260452,"(40.7356835113066, -73.99286622604521)"
"50736188",06/01/2021 04:38:00 PM,06/02/2021 01:00:00 PM,DEP,Department of Environmental Protection,Noise,"Noise, Ice Cream Truck (NR4)",,"10035",325 PLEASANT AVENUE,PLEASANT AVENUE,E 117 ST,E 118 ST,,,ADDRESS,NEW YORK,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",06/02/2021 01:00:00 PM,11 MANHATTAN,"1017110024",MANHATTAN,"1002931","229262",ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7959275242456,-73.9325307818763,"(40.79592752424556, -73.93253078187625)"
"50787714",06/05/2021 08:44:00 PM,06/07/2021 07:30:00 PM,DEP,Department of Environmental Protection,Noise,"Noise, Ice Cream Truck (NR4)",,"10001",15 HUDSON YARDS,HUDSON YARDS,HIGH LINE,W 33 ST,,,ADDRESS,NEW YORK,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",06/07/2021 07:30:00 PM,04 MANHATTAN,"1007027502",MANHATTAN,"983396","214074",ONLINE,Unspecified,MANHATTAN,,,,,,,,40.754260156569,-74.0030824187758,"(40.75426015656901, -74.00308241877582)"
"50851929",06/11/2021 06:15:00 PM,06/14/2021 09:15:00 PM,DEP,Department of Environmental Protection,Noise,"Noise, Ice Cream Truck (NR4)",,"10009",,,,,AVENUE A,SAINT MARKS PLACE,INTERSECTION,NEW YORK,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",06/14/2021 09:15:00 PM,03 MANHATTAN,,MANHATTAN,"988937","204021",ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7266659705471,-73.9830897955071,"(40.72666597054709, -73.98308979550706)"
"50597090",05/18/2021 05:12:00 PM,05/25/2021 11:45:00 AM,DEP,Department of Environmental Protection,Noise,"Noise, Ice Cream Truck (NR4)",,"10001",11 AVENUE,11 AVENUE,HIGH LINE,WEST   33 STREET,,,BLOCKFACE,NEW YORK,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",05/25/2021 11:45:00 AM,04 MANHATTAN,,MANHATTAN,,,PHONE,Unspecified,MANHATTAN,,,,,,,,,,
"50278894",04/14/2021 06:04:00 PM,04/19/2021 08:15:00 PM,DEP,Department of Environmental Protection,Noise,"Noise, Ice Cream Truck (NR4)",,"10040",,,,,WEST  190 STREET,ST NICHOLAS AVENUE,INTERSECTION,NEW YORK,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",04/19/2021 08:15:00 PM,12 MANHATTAN,,MANHATTAN,"1003713","250751",ONLINE,Unspecified,MANHATTAN,,,,,,,,40.8549070085149,-73.9296441384703,"(40.85490700851485, -73.92964413847032)"
"50914163",06/17/2021 01:00:00 AM,06/17/2021 08:00:00 PM,DEP,Department of Environmental Protection,Noise,"Noise, Ice Cream Truck (NR4)",,"10001",288 10 AVENUE,10 AVENUE,W 26 ST,W 27 DR,,,ADDRESS,NEW YORK,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",06/17/2021 08:00:00 PM,04 MANHATTAN,"1007240001",MANHATTAN,"983575","212540",ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7500497304122,-74.0024361840406,"(40.750049730412215, -74.00243618404062)"
"50278965",04/14/2021 10:06:00 PM,04/20/2021 09:00:00 PM,DEP,Department of Environmental Protection,Noise,"Noise, Ice Cream Truck (NR4)",,"10019",410 WEST   51 STREET,WEST   51 STREET,9 AVE,10 AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",04/20/2021 09:00:00 PM,04 MANHATTAN,"1010600040",MANHATTAN,"987261","217758",ONLINE,Unspecified,MANHATTAN,,,,,,,,40.764371321854,-73.9891304778031,"(40.764371321854036, -73.98913047780306)"
"50931720",06/19/2021 10:09:00 PM,06/21/2021 06:45:00 PM,DEP,Department of Environmental Protection,Noise,"Noise, Ice Cream Truck (NR4)",,"10005",,,,,BROADWAY,WALL STREET,INTERSECTION,NEW YORK,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",06/21/2021 06:45:00 PM,01 MANHATTAN,,MANHATTAN,"981005","197131",ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7077552199308,-74.0117042983323,"(40.707755219930775, -74.0117042983323)"
"50316783",04/19/2021 07:44:00 PM,04/21/2021 10:45:00 PM,DEP,Department of Environmental Protection,Noise,"Noise, Ice Cream Truck (NR4)",,"10036",452 WEST   47 STREET,WEST   47 STREET,9 AVE,10 AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",04/21/2021 10:45:00 PM,04 MANHATTAN,"1010560058",MANHATTAN,"986520","216977",ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7622278993911,-73.9918057053046,"(40.76222789939113, -73.99180570530457)"
"50366414",04/24/2021 04:52:00 PM,,DEP,Department of Environmental Protection,Noise,"Noise, Ice Cream Truck (NR4)",,"10025",796 AMSTERDAM AVENUE,AMSTERDAM AVENUE,W 98 ST,W 99 ST,,,ADDRESS,NEW YORK,,N/A,Open,,,,07 MANHATTAN,"1018700035",MANHATTAN,"992815","229230",ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7958552883201,-73.9690662608503,"(40.79585528832015, -73.96906626085033)"
"51380077",07/30/2021 05:15:00 PM,08/03/2021 10:30:00 PM,DEP,Department of Environmental Protection,Noise,"Noise, Ice Cream Truck (NR4)",,"10029",1863 LEXINGTON AVENUE,LEXINGTON AVENUE,E 115 ST,E 116 ST,,,ADDRESS,NEW YORK,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",08/03/2021 10:30:00 PM,11 MANHATTAN,"1016430052",MANHATTAN,"1000347","230117",ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7982793512336,-73.9418612308721,"(40.79827935123355, -73.9418612308721)"
"50330815",04/20/2021 10:02:00 PM,04/21/2021 10:00:00 PM,DEP,Department of Environmental Protection,Noise,"Noise, Ice Cream Truck (NR4)",,"10036",605 WEST   42 STREET,WEST   42 STREET,11 AVE,12 AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",04/21/2021 10:00:00 PM,04 MANHATTAN,"1010907502",MANHATTAN,"984633","216515",ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7609601112223,-73.9986174647017,"(40.76096011122231, -73.99861746470174)"
